team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2025,VGK,VGK,Team Level,5on4,82,0.92,0.9,0.88,21162,354.54,48.57,34.52,75.55,11.96,196.51,101.89,45.69,48.57,45.69,317,152,136,605,54,61,10,69,1,152,132,263,415,18,34,219,4,17,64,289,115,65,7.43,13.73,27.4,6,15,33,605,469,469,6,9.15,12.31,12.71,45.01,45.01,43.01,49.45,4.38,2.55,7.19,1.62,16.12,35.14,4.32,4.38,4.32,51,16,4,71,4,3,0,4,0,11,45,47,63,4,10,157,35,32,47,46,17,4,1.18,2.21,0.98,0,4,0,71,67,67,40,0.58,0.54,0.54,4.42,4.42,4.39
COL,2025,COL,COL,Team Level,other,82,0.59,0.5,0.52,10037,155.3,42.63,10.26,25.97,5.15,80.55,51.44,39.42,42.63,39.42,133,83,62,278,40,12,2,19,1,86,58,93,176,6,12,128,28,18,61,114,43,59,4.84,5.27,32.52,6,6,28,278,216,216,16,3.05,4.26,4.26,41.42,41.42,39.01,144.72,29.96,10.5,27.61,5.05,82.68,46.2,27.01,29.96,27.01,127,75,81,283,24,14,1,10,0,92,62,103,178,5,10,122,24,18,30,113,50,39,4.65,5.93,19.38,8,0,16,283,202,202,14,3.1,3.08,3.14,29.92,29.92,27.44
COL,2025,COL,COL,Team Level,all,82,0.57,0.56,0.56,299088,3003.15,301.1,205.58,732.68,100.73,1637.57,1164.33,284.67,305,288.4,2769,1373,1568,5710,298,318,40,590,2,1578,1356,2471,3844,261,553,2463,1360,369,1295,3077,742,323,95.18,92.08,113.84,139,74,85,5831.17,4142,4209.43,546,45.69,68.07,68.07,278.73,282.06,272.18,2442.91,231.31,169.67,593.81,82.38,1303.32,938.58,218.87,229.22,216.87,2144,1176,1160,4480,197,288,20,480,3,1145,1207,1947,3123,289,614,2346,1700,384,1289,2455,615,250,69.32,77.91,84.08,77,62,58,4399.5,3320,3276.45,640,38.05,55.04,55.13,214.16,212.36,206.15
COL,2025,COL,COL,Team Level,5on5,82,0.57,0.57,0.56,240966,2374.5,202.97,155.56,608.77,80.22,1291.03,942.44,194.49,206.87,198.23,2199,1082,1333,4614,216,259,31,475,1,1248,1082,1983,3065,230,487,1885,1265,304,1106,2516,558,207,76.75,70.14,56.07,123,59,34,4735.17,3281,3348.43,486,32.45,53.03,53.03,182.39,185.72,181.57,1901.04,154.03,123.97,483.99,64,1009.79,750.26,147.52,151.94,145.52,1647,940,937,3524,128,225,14,407,3,875,949,1519,2459,259,549,1817,1599,309,1121,1976,467,144,54.41,60.09,39.54,59,51,18,3443.5,2587,2543.45,576,25.8,40.95,41.21,138.57,136.77,134.51
COL,2025,COL,COL,Team Level,4on5,82,0.12,0.14,0.15,23031,59.44,5.42,2.96,9.38,2.01,19.15,41.07,5.31,5.42,5.31,62,18,11,91,2,4,0,5,0,22,47,60,78,15,31,177,50,30,50,56,17,7,1.49,2.18,1.75,0,0,2,91,80,80,39,0.69,0.83,0.83,5.27,5.27,5.22,333.06,41.14,31.86,72.15,11.23,190.27,99.36,38.22,41.14,38.22,295,151,134,580,34,47,5,59,0,168,138,261,412,16,37,226,16,14,88,304,83,59,8.41,9.8,22.92,7,5,22,580,446,446,7,8.38,10.95,10.72,38.8,38.8,37.38
COL,2025,COL,COL,Team Level,5on4,82,0.89,0.89,0.87,25054,413.91,50.09,36.79,88.57,13.35,246.83,129.37,45.44,50.09,45.44,375,190,162,727,40,43,7,91,0,222,169,335,525,10,23,273,17,17,78,391,124,50,12.09,14.5,23.49,10,9,21,727,565,565,5,9.5,9.94,9.94,49.64,49.64,46.37,64.09,6.15,3.34,10.07,2.09,20.58,42.77,6.11,6.15,6.11,75,10,8,93,11,2,0,4,0,10,58,64,74,9,18,181,61,43,50,62,15,8,1.84,2.08,2.23,3,6,2,93,85,85,43,0.77,0.06,0.06,6.87,6.87,6.82
SEA,2025,SEA,SEA,Team Level,other,82,0.47,0.48,0.5,10178,152.73,32.58,11.55,28.39,5.41,83.35,50.71,30.98,32.58,30.98,145,67,60,272,33,13,2,32,0,75,59,112,179,4,11,127,18,17,29,110,62,40,4.62,7.4,20.56,4,9,20,272,212,212,11,3.39,2.6,2.6,33.36,33.36,31.81,153.98,36.98,10.52,27.51,5.35,80.09,55.56,35.43,36.98,35.43,131,85,75,291,34,18,4,22,0,84,58,97,182,6,15,116,26,19,39,109,53,54,4.45,6.49,26.03,3,5,26,291,216,216,15,2.96,3.77,3.77,36.17,36.17,34.9
SEA,2025,SEA,SEA,Team Level,all,82,0.46,0.46,0.46,299459,2362.45,223.93,165.42,572.72,79.94,1285.98,912,214.23,223.35,213.69,2098,1142,1152,4392,224,241,42,483,4,1123,1165,1874,3016,250,556,2173,1517,392,1241,2454,552,234,73.69,66.68,83.57,78,65,81,4360.54,3240,3220.18,573,37.09,52.31,52.35,208.67,208.11,203.25,2741.61,257.92,190.07,666.03,93.66,1500.35,1078.02,247.59,259.48,249.1,2417,1370,1413,5200,257,299,27,563,4,1403,1261,2160,3530,253,559,2381,1630,386,1288,2873,634,280,82.52,77.41,97.98,80,88,89,5252.46,3787,3820.73,568,42.05,53.01,53.08,246.89,248.32,241.99
SEA,2025,SEA,SEA,Team Level,5on5,82,0.46,0.45,0.46,249612,1859.79,147.82,122.11,468.1,62.49,1009.53,746.94,142.34,147.24,141.8,1638,919,957,3514,153,183,32,378,4,882,957,1485,2404,224,498,1689,1441,337,1120,2009,408,140,59.1,49.08,39.63,62,51,40,3482.54,2557,2537.18,531,25.39,36.16,36.72,136.49,135.94,133.88,2198.12,173.77,146.67,559.09,75.58,1205.68,885.28,167.53,175.32,169.03,1943,1104,1179,4226,160,241,16,467,4,1130,1045,1783,2887,223,495,1865,1544,323,1165,2391,490,166,68.64,59.87,45.26,70,63,27,4278.47,3047,3080.73,521,30.49,42.95,43.03,161.23,162.66,159.74
SEA,2025,SEA,SEA,Team Level,4on5,82,0.04,0.06,0.07,19053,23.88,1.81,1.22,3.69,0.81,8.31,17.17,1.7,1.81,1.7,30,3,4,37,1,0,0,1,0,4,27,29,32,6,12,146,43,19,32,27,3,3,0.69,0.4,0.72,1,0,0,37,33,33,28,0.29,0,0,2.09,2.09,1.97,335.64,42.71,30.49,71.56,11.12,198.28,99.85,40.32,42.71,40.32,291,163,151,605,56,37,6,71,0,175,115,235,398,14,28,221,10,11,50,319,81,54,7.97,9.62,25.13,7,16,33,605,454,454,2,8.04,6.02,6.02,44.73,44.73,42.66
SEA,2025,SEA,SEA,Team Level,5on4,82,0.9,0.88,0.86,20616,326.04,41.73,30.54,72.54,11.23,184.79,97.17,39.21,41.73,39.21,285,153,131,569,37,45,8,72,0,162,122,248,401,16,35,211,15,19,60,308,79,51,9.28,9.8,22.65,11,5,21,569,438,438,3,8.03,13.55,13.03,36.72,36.72,35.59,53.87,4.46,2.4,7.88,1.61,16.31,37.35,4.32,4.46,4.32,52,18,8,78,7,3,1,3,0,14,43,45,63,10,21,179,50,33,34,54,10,6,1.45,1.43,1.58,0,4,3,78,70,70,30,0.56,0.27,0.27,4.76,4.76,4.67
WSH,2025,WSH,WSH,Team Level,other,82,0.59,0.53,0.54,11725,182.56,46.55,12.25,34.04,6.69,89.45,59.01,43.18,46.55,43.18,160,88,83,331,40,25,4,21,1,84,77,120,208,8,19,137,37,18,44,116,60,72,4.87,7.3,34.39,8,1,31,331,248,248,17,3.62,7.1,7.1,43.08,43.08,41.09,152.87,32.06,10.24,28.68,5.19,81.64,51.18,30.59,32.06,30.59,132,77,89,298,32,11,0,22,1,84,59,100,177,10,23,121,20,16,47,105,59,45,4.27,7.39,20.4,4,9,19,298,209,209,12,2.91,3.46,3.46,31.51,31.51,30.39
WSH,2025,WSH,WSH,Team Level,all,82,0.51,0.49,0.5,298693,2618.07,269.9,176.68,630.29,90.2,1376.6,1010.33,256.24,270.86,257.14,2301,1253,1262,4816,261,296,44,450,6,1192,1349,2040,3293,299,671,2180,1615,373,1256,2559,696,299,79.96,84.99,104.96,96,84,81,4836.27,3554,3569.71,585,39.74,62.18,62.55,247.1,247.86,240.92,2635.01,263.11,179.83,628.72,89.6,1398.95,1015.85,250.87,263.6,251.33,2307,1270,1414,4991,238,282,28,471,6,1308,1272,2069,3339,292,659,2240,1519,371,1306,2548,746,283,78.97,91.37,92.76,78,82,78,4985.89,3577,3573.84,597,40.34,56.34,57.1,246.29,246.77,240.93
WSH,2025,WSH,WSH,Team Level,5on5,82,0.5,0.49,0.5,240359,2013.22,175.01,129.06,504.4,69.01,1061.95,801.58,168.03,175.97,168.92,1748,993,1034,3775,179,222,32,352,3,911,1074,1569,2562,263,590,1625,1507,302,1092,2038,542,161,63.58,66.65,44.79,78,75,26,3795.27,2741,2756.71,520,26.91,44.34,44.34,157.58,158.34,155.37,2001.46,175.13,129.79,499.7,68.12,1054.24,788.07,168.86,175.62,169.32,1748,968,1147,3863,147,214,18,382,4,988,981,1601,2569,258,580,1723,1435,309,1125,2011,529,176,62.11,65.05,47.96,58,59,30,3857.89,2716,2712.84,545,27.07,40.29,40.78,161.36,161.84,159.23
WSH,2025,WSH,WSH,Team Level,4on5,82,0.09,0.1,0.12,23907,54.11,4.89,2.67,8.3,1.84,17.54,37.76,4.84,4.89,4.84,62,11,12,85,3,0,0,5,0,9,56,59,70,12,27,162,42,35,47,58,6,9,1.87,0.79,2.23,1,1,1,85,73,73,41,0.61,0,0,5.5,5.5,5.43,411.87,48.8,36.39,89.83,14.12,241.18,129.69,44.55,48.8,44.55,355,205,170,730,49,52,9,63,1,226,169,306,511,12,27,235,11,13,92,373,134,53,11.17,15.99,21.63,12,12,25,730,560,560,7,9.59,11.02,11.29,47.09,47.09,45.04
WSH,2025,WSH,WSH,Team Level,5on4,82,0.86,0.86,0.84,22702,368.17,43.45,32.7,83.55,12.66,207.66,111.98,40.21,43.45,40.21,331,161,133,625,39,49,8,72,2,188,142,292,453,16,35,256,29,18,73,347,88,57,9.64,10.26,23.55,9,7,23,625,492,492,7,8.59,10.75,11.11,40.94,40.94,39.02,68.81,7.11,3.4,10.51,2.17,21.89,46.9,6.87,7.11,6.87,72,20,8,100,10,5,1,4,0,10,63,62,82,12,29,161,53,33,42,59,24,9,1.4,2.94,2.77,4,2,4,100,92,92,33,0.78,1.57,1.57,6.33,6.33,6.28
VAN,2025,VAN,VAN,Team Level,other,82,0.41,0.52,0.49,12439,175.24,30.16,14.31,33.77,6.55,101.39,54.83,26.5,30.16,26.5,160,81,94,335,23,27,2,28,0,89,74,137,218,9,16,130,30,14,32,133,62,46,4.6,7.8,17.75,5,5,13,335,241,241,11,4.11,6.84,6.84,27.43,27.43,24.65,177.13,42.54,12.26,32.04,6.49,90.95,61.72,39.97,42.54,39.97,154,92,66,312,45,19,4,26,0,86,70,109,201,9,18,141,27,20,41,125,54,67,4.91,6.8,30.83,5,8,32,312,246,246,26,3.47,3.96,3.96,42.04,42.04,40.1
VAN,2025,VAN,VAN,Team Level,all,82,0.45,0.48,0.47,299531,2443.42,234.39,173.13,589.45,83.02,1320.03,944.99,221.13,232.17,219.05,2129,1216,1185,4530,210,306,30,449,0,1187,1193,1919,3135,272,591,2213,1739,364,1271,2519,555,271,74.11,70.58,89.69,72,70,68,4446.69,3345,3299.41,582,38.94,62.45,62.45,210.87,209.16,202.38,2753.74,285.74,193.36,649.48,91.69,1462.56,1049.17,272.2,289.25,275.61,2446,1286,1235,4967,314,295,36,488,1,1324,1310,2132,3418,277,604,2275,1568,338,1201,2663,763,306,83.14,96.24,106.36,116,104,94,5074.16,3732,3798.54,517,42.97,56.2,56.2,272.5,275.92,267.99
VAN,2025,VAN,VAN,Team Level,5on5,82,0.44,0.46,0.46,245692,1861.39,151.69,123.39,472.53,63.14,1004.46,742.78,145.71,149.48,143.62,1601,957,944,3502,131,221,18,349,0,906,951,1470,2427,245,539,1709,1625,315,1141,1999,406,153,59.29,51.77,40.63,60,49,22,3418.69,2558,2512.41,540,25.67,40.33,40.33,137.04,135.33,132.75,2196.27,191.8,148.26,540.83,72.64,1172.79,858.69,183.88,195.31,187.29,1945,1040,1052,4037,210,228,27,403,1,1077,1066,1735,2775,245,540,1766,1481,279,1059,2217,594,174,68.97,75.46,47.36,100,79,31,4144.16,2985,3051.54,462,30.99,42.82,42.82,179.97,183.38,179.38
VAN,2025,VAN,VAN,Team Level,4on5,82,0.11,0.14,0.16,20167,61.67,5.53,2.67,8.78,1.85,18.4,43.77,5.34,5.53,5.34,60,21,7,88,7,4,0,8,0,19,43,53,74,10,20,183,66,28,31,58,19,4,1.77,2.66,1.09,2,5,0,88,81,81,28,0.61,0.57,0.57,5.57,5.57,5.41,330.12,46.68,30.23,68.62,10.85,182.96,94.66,43.77,46.68,43.77,295,139,106,540,56,45,5,55,0,146,132,239,378,16,32,193,17,13,71,276,98,60,8.03,11.83,26.82,9,16,31,540,434,434,7,7.92,8.7,8.7,45.9,45.9,43.97
VAN,2025,VAN,VAN,Team Level,5on4,82,0.91,0.89,0.87,21233,345.11,47,32.76,74.37,11.49,195.79,103.6,43.59,47,43.59,308,157,140,605,49,54,10,64,0,173,125,259,416,8,16,191,18,7,67,329,68,68,8.45,8.34,30.22,5,11,33,605,465,465,3,8.55,14.72,14.72,40.83,40.83,39.56,50.2,4.71,2.61,7.99,1.71,15.87,34.11,4.58,4.71,4.58,52,15,11,78,3,3,0,4,0,15,42,49,64,7,14,175,43,26,30,45,17,5,1.23,2.14,1.34,2,1,0,78,67,67,22,0.61,0.72,0.72,4.6,4.6,4.54
PIT,2025,PIT,PIT,Team Level,other,82,0.5,0.51,0.5,10204,167.27,38.8,12.17,28.22,5.65,85.84,57.32,35.48,38.8,35.48,164,64,77,305,36,14,1,23,0,88,67,128,192,6,12,115,36,22,43,113,63,52,4.77,8.01,26.02,6,8,22,305,228,228,14,3.48,4.96,4.96,37.33,37.33,35.15,165.27,38.65,12,28.02,5.67,87.84,54.82,35.71,38.65,35.71,143,84,64,291,36,15,2,20,1,85,70,107,191,10,22,120,23,14,34,113,62,52,4.49,8.13,26.03,7,8,21,291,227,227,14,3.47,4.83,4.68,37.43,37.43,35.5
PIT,2025,PIT,PIT,Team Level,all,82,0.51,0.5,0.5,300212,2634.64,272.39,193.62,616.08,89.41,1411.73,1019.78,257.12,275.16,259.79,2343,1260,1274,4877,290,297,28,451,8,1291,1266,2053,3313,269,588,2181,1444,406,1341,2566,733,304,81.35,90,101.04,116,96,78,4944.34,3603,3649.13,606,43.31,61.4,61.74,253.95,256.62,247.59,2591.9,259.17,184.96,613.21,87.36,1402.02,998.29,244.23,258.05,243.22,2245,1300,1331,4876,258,270,33,484,7,1287,1239,1987,3287,266,581,2343,1740,362,1336,2590,674,281,77.68,83.12,98.39,98,87,73,4838.59,3545,3529.11,623,41.43,56.23,56.28,244.33,243.81,235.57
PIT,2025,PIT,PIT,Team Level,5on5,82,0.51,0.5,0.51,245830,2058.25,181.35,144.23,502.45,69.56,1103.85,814.55,173.96,184.12,176.63,1807,1009,1061,3877,201,216,20,371,7,1017,1004,1606,2615,248,548,1667,1311,342,1176,2092,545,179,65.31,67.65,48.4,98,73,30,3944.34,2816,2862.13,548,30.19,43.21,43.55,167.99,170.64,166.58,2014.4,174.06,136.83,502.59,68.02,1083.12,792.39,166.2,172.94,165.2,1751,1006,1092,3849,174,219,26,395,4,974,991,1577,2583,229,505,1836,1659,308,1182,2075,515,167,63.54,63.56,46.96,84,65,25,3811.59,2757,2741.11,567,28.56,43.44,43.49,159.13,158.62,155.52
PIT,2025,PIT,PIT,Team Level,4on5,82,0.12,0.12,0.15,22386,59.6,5.06,3.12,8.93,2.03,20.12,42.74,4.98,5.06,4.98,56,26,8,90,4,8,1,2,0,13,55,52,78,10,20,175,80,27,47,59,19,4,1.72,2.29,1.05,1,2,1,90,82,82,42,0.73,0.66,0.66,5.12,5.12,5.08,340.65,38.31,32.19,72.04,11.45,209.68,104.32,34.49,38.31,34.49,278,190,164,632,39,29,5,61,2,210,127,239,429,18,36,222,18,19,71,346,72,50,7.86,8.27,22.18,5,10,24,632,468,468,4,8.5,6.4,6.4,40.42,40.42,37.27
PIT,2025,PIT,PIT,Team Level,5on4,82,0.85,0.85,0.84,21792,349.54,47.18,34.1,76.49,12.17,201.91,105.16,42.71,47.18,42.71,316,161,128,605,49,59,6,55,1,173,140,267,428,5,8,224,17,15,75,302,106,69,9.55,12.05,25.58,11,13,25,605,477,477,2,8.9,12.57,12.57,43.51,43.51,40.78,71.58,8.16,3.95,10.55,2.2,21.38,46.76,7.83,8.16,7.83,73,20,11,104,9,7,0,8,0,18,51,64,84,9,18,165,40,21,49,56,25,12,1.79,3.16,3.21,2,4,3,104,93,93,38,0.9,1.56,1.71,7.35,7.35,7.27
FLA,2025,FLA,FLA,Team Level,other,82,0.43,0.52,0.51,11718,171.98,36.25,12.13,32.71,6.08,91.95,59.88,33.35,36.25,33.35,155,84,82,321,28,20,2,29,0,90,72,127,211,13,28,135,39,17,37,117,72,50,4.64,8.97,22.65,5,8,15,321,239,239,15,3.44,5.31,5.31,34.39,34.39,32.79,164.85,48.98,11.71,28.45,5.97,81.14,51.74,45.52,48.98,45.52,146,82,66,294,43,18,7,21,2,73,71,103,185,7,14,149,31,21,43,103,55,70,3.9,6.72,38.37,7,6,30,294,228,228,25,3.43,6.75,7.13,45.28,45.28,43.82
FLA,2025,FLA,FLA,Team Level,all,82,0.5,0.53,0.52,298363,2674.66,265.21,185.95,643.38,90.86,1430.15,1026.44,249.99,265.53,250.29,2296,1346,1357,4999,246,306,37,518,7,1296,1269,2050,3396,351,776,2190,2024,343,1166,2654,704,284,80.44,87.32,97.46,92,87,67,4993.03,3642,3644.57,553,41.83,59.78,60.09,246.96,247.25,238.95,2485.44,265.22,171.3,598.09,85.49,1309.7,953.2,250.45,266.33,251.45,2197,1186,1115,4498,274,285,40,431,8,1113,1272,1923,3109,346,776,2494,1645,404,1249,2420,657,306,71.49,80.68,113.05,97,96,81,4519.37,3383,3394.78,607,38.49,62.83,63.21,240.5,241.41,235.04
FLA,2025,FLA,FLA,Team Level,5on5,82,0.49,0.52,0.51,236659,1991,163.08,129.96,507.81,67.44,1065.58,782.13,157.01,163.39,157.31,1684,1032,1039,3755,162,218,27,403,6,955,972,1522,2554,303,671,1653,1894,268,995,2086,481,149,62.59,59.75,40.73,76,58,28,3749.03,2716,2718.57,492,27.06,40.16,40.46,149.67,149.95,147.29,1925.55,168.04,126.29,487.05,65.81,1013.85,758.95,160.26,169.15,161.26,1694,926,885,3505,181,223,29,352,5,874,985,1513,2439,300,678,1872,1538,331,1059,1952,491,177,56.86,61.47,49.72,80,70,31,3526.37,2620,2631.78,529,26.4,45.91,46.4,148.05,148.97,145.9
FLA,2025,FLA,FLA,Team Level,4on5,82,0.16,0.17,0.19,25178,83.48,8.49,4.12,12.04,2.61,25.59,56.14,8.38,8.49,8.38,78,31,16,125,6,7,0,8,0,13,75,72,103,12,29,179,62,33,48,76,20,13,2.62,2.44,3.44,2,3,1,125,109,109,40,0.94,1.43,1.43,8.01,8.01,7.96,340.84,43.33,30.46,74.52,11.84,196.52,104.34,39.86,43.33,39.86,294,167,154,615,45,42,4,55,1,154,164,249,416,25,56,244,31,21,93,310,98,53,8.99,10.89,23.45,8,17,20,615,461,461,5,7.99,9.91,9.42,41.9,41.9,40.08
FLA,2025,FLA,FLA,Team Level,5on4,82,0.92,0.9,0.89,24808,428.2,57.39,39.74,90.8,14.74,247.03,128.29,51.24,57.39,51.24,379,199,220,798,50,61,8,78,1,238,150,329,528,23,48,223,29,25,86,375,131,72,10.59,16.17,30.64,9,18,23,798,578,578,6,10.39,12.9,12.9,54.89,54.89,50.91,54.2,4.87,2.85,8.07,1.86,18.19,38.17,4.82,4.87,4.82,63,11,10,84,5,2,0,3,0,12,52,58,69,14,28,229,45,31,54,55,13,6,1.75,1.61,1.52,2,3,0,84,74,74,48,0.66,0.26,0.26,5.27,5.27,5.24
WPG,2025,WPG,WPG,Team Level,other,82,0.46,0.46,0.46,13651,142.71,36.76,9.54,25.15,4.79,71.71,47.05,33.19,36.76,33.19,122,73,57,252,27,18,2,21,0,68,61,95,168,6,12,107,25,9,36,92,48,55,3.9,5.93,26.93,5,7,15,252,195,195,11,2.75,6.87,6.87,32.64,32.64,30.28,169.73,42.44,12.19,30.97,5.7,85.32,53.37,36.92,42.44,36.92,142,88,69,299,33,25,2,14,0,83,75,109,197,3,6,109,29,19,32,111,58,61,4.22,7,31.22,6,6,21,299,230,230,12,3.69,8.86,8.86,37.27,37.27,34.41
WPG,2025,WPG,WPG,Team Level,all,82,0.48,0.49,0.49,298581,2436.78,247.44,173.47,585.37,82.9,1309.5,951.32,231.98,247.81,232.44,2161,1189,1155,4505,229,285,35,515,6,1156,1159,1932,3121,258,577,2242,1776,330,1186,2486,586,278,74.43,73.27,99.75,82,79,68,4512.26,3350,3356.67,558,38.69,62.86,62.86,223.28,223.76,215.73,2564.84,263.63,181.15,615.43,86.84,1374.19,985.83,246.59,264.4,247.27,2277,1231,1231,4739,256,319,37,478,2,1277,1176,2021,3252,257,565,2145,1560,374,1170,2544,644,320,76.28,77.86,109.48,99,84,73,4745.86,3508,3511.74,534,40.49,67.75,67.79,236.27,236.88,228.74
WPG,2025,WPG,WPG,Team Level,5on5,82,0.48,0.49,0.49,242043,1897.6,157.34,127.64,478.64,64.88,1030.95,767.55,150.61,157.69,151.06,1670,957,972,3599,156,205,26,430,5,922,909,1514,2471,235,529,1775,1680,284,1041,2045,430,152,60.56,53.98,42.8,72,59,25,3606.26,2627,2633.67,516,26.62,41.13,41.56,142.38,142.87,140.54,2024.29,171.74,136.74,509.36,68.91,1087.28,801.03,164.42,172.51,165.1,1808,968,1004,3780,172,240,23,392,2,1025,945,1636,2604,229,511,1648,1488,316,1045,2102,483,191,62.26,59,50.49,81,69,22,3786.87,2776,2779.74,493,28.45,45.2,45.24,154.88,155.5,152.33
WPG,2025,WPG,WPG,Team Level,4on5,82,0.15,0.13,0.16,20314,65.89,8.13,3.66,10.13,2.02,19.34,40.73,7.94,8.13,7.94,64,20,7,91,5,7,1,5,0,13,54,59,79,11,24,158,53,29,31,49,22,13,1.44,2.99,3.71,0,2,3,91,84,84,27,0.83,2.19,2.19,6.77,6.77,6.73,321.82,44.71,29.83,68.23,10.84,186.4,97.99,40.76,44.71,40.76,273,165,151,589,47,49,11,68,0,153,121,226,391,22,42,220,7,8,62,289,90,59,8.84,10.42,25.45,11,6,30,589,438,438,1,7.81,12.56,12.56,39.96,39.96,37.91
WPG,2025,WPG,WPG,Team Level,5on4,82,0.91,0.89,0.87,22573,330.58,45.22,32.62,71.45,11.21,187.51,96,40.24,45.22,40.24,305,139,119,563,41,55,6,59,1,153,135,264,403,6,12,202,18,8,78,300,86,58,8.54,10.37,26.32,5,11,25,563,444,444,4,8.49,12.67,12.23,41.48,41.48,38.17,49,4.74,2.39,6.86,1.39,15.18,33.44,4.49,4.74,4.49,54,10,7,71,4,5,1,4,0,16,35,50,60,3,6,168,36,31,31,42,13,9,0.96,1.45,2.32,1,3,0,71,64,64,28,0.55,1.13,1.13,4.15,4.15,4.09
SJS,2025,SJS,SJS,Team Level,other,82,0.48,0.49,0.49,9589,134.59,30.75,9.87,23.72,4.33,75.19,40.13,29.53,30.75,29.53,129,55,61,245,37,6,2,17,0,79,45,92,147,7,14,113,20,11,29,91,63,30,3.93,7.58,19.24,7,11,19,245,184,184,18,2.9,2.19,2.19,31.47,31.47,30.32,140.84,33.21,10.51,25.01,4.94,76.43,42.91,29.66,33.21,29.66,131,62,65,258,38,15,5,22,1,66,51,93,155,3,6,118,36,19,25,95,48,50,3.73,6.42,23.06,9,7,22,258,193,193,10,3.08,5.22,5.22,31.07,31.07,28.98
SJS,2025,SJS,SJS,Team Level,all,82,0.48,0.47,0.46,298725,2304.38,241.67,165.62,542.4,77.4,1228.35,871.56,228.81,241.81,228.91,2114,1013,1247,4374,249,263,33,418,2,1078,1117,1865,2878,286,612,2206,1794,375,1348,2234,623,270,67.75,77.37,96.54,85,93,71,4368.67,3127,3131.06,637,37.39,56.99,57.04,222.02,222.38,216.9,2658.64,264.33,191.9,632.74,90.08,1437.52,1009.42,248.8,265.47,249.84,2432,1194,1314,4940,290,300,35,494,8,1305,1229,2142,3336,292,628,2408,1469,372,1197,2651,684,291,79.49,84.45,100.39,116,94,80,4967.82,3626,3639.2,542,42.91,63.38,63.38,243.87,244.65,236.79
SJS,2025,SJS,SJS,Team Level,5on5,82,0.48,0.47,0.46,241037,1770.58,155.67,119.86,435.43,59.64,942.96,699.46,149.26,155.81,149.36,1615,798,1001,3414,163,201,24,334,2,817,896,1452,2250,254,545,1697,1715,308,1201,1811,436,166,54.88,55.06,45.73,71,67,25,3408.67,2413,2417.06,580,25.01,39.62,40.29,140.39,140.74,138.59,2039.88,171.61,138.48,511.18,69.13,1101.15,798.45,164.2,172.75,165.24,1849,941,1067,3857,190,220,22,399,5,997,979,1659,2600,258,557,1833,1375,301,1059,2114,508,168,62.43,62.62,46.56,93,72,25,3884.82,2790,2803.2,476,28.87,43.83,44.38,156.1,156.87,154.21
