team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NJD,2025,NJD,NJD,Team Level,other,82,0.54,0.56,0.55,9932,167.82,40.31,13.22,29.22,5.98,92.08,50.19,37.58,40.31,37.58,157,74,85,316,41,19,3,13,0,102,56,116,190,1,2,97,24,22,31,120,52,59,5.11,6.54,28.66,6,8,27,316,231,231,10,3.72,5.48,5.48,38.54,38.54,36.69,134.2,34.78,10.24,22.71,4.69,73.41,40.16,32.3,34.78,32.3,117,69,65,251,29,14,3,17,1,74,51,88,157,2,4,105,33,9,35,86,51,49,3.76,6.2,24.83,1,6,22,251,186,186,13,2.98,3.67,3.67,34.09,34.09,32.06
NJD,2025,NJD,NJD,Team Level,all,82,0.51,0.52,0.52,298448,2678.38,261.2,188.54,645.01,91.38,1440.59,1033.27,248.46,260.71,248.04,2426,1234,1359,5019,226,307,20,467,5,1378,1277,2200,3434,244,550,2289,1514,380,1321,2703,678,279,80.48,83.59,97.13,82,78,66,4979.6,3660,3642.12,616,42.08,61.21,61.21,242.08,241.55,235.35,2492.69,249.47,177.92,595.29,85.47,1346.29,957.55,237.22,251.17,238.87,2247,1165,1250,4662,253,292,40,481,4,1173,1209,1994,3159,238,534,2240,1615,382,1287,2500,638,274,75.97,79.02,94.48,100,78,75,4711.85,3412,3445.28,599,39.65,59.57,59.57,229.54,231.19,224.57
NJD,2025,NJD,NJD,Team Level,5on5,82,0.5,0.51,0.51,248798,2116.58,169.56,139.51,536.39,71.79,1139.48,842.28,163.31,169.08,162.89,1883,1016,1114,4013,136,227,7,402,4,1086,1044,1747,2763,219,497,1812,1424,317,1174,2241,508,150,65.6,62.91,41.05,67,57,12,3973.6,2899,2881.12,564,29.02,40.13,40.13,158.45,157.92,155.28,2008.26,172.66,136.11,499.81,68.32,1081.82,794.28,166.32,174.36,167.97,1801,952,1046,3799,183,229,27,404,2,937,998,1618,2570,213,481,1806,1516,336,1153,2082,499,172,62.96,62.22,47.48,86,66,31,3848.85,2753,2786.28,562,28.38,44.37,44.38,156.66,158.32,155.51
NJD,2025,NJD,NJD,Team Level,4on5,82,0.15,0.14,0.16,20212,59.95,6.65,3.54,8.09,1.83,18.83,41.07,6.56,6.65,6.56,62,18,11,91,6,2,0,3,0,14,55,56,74,11,25,175,42,27,43,46,25,9,1.42,3.1,2.13,1,4,1,91,80,80,37,0.81,0.32,0.32,7.13,7.13,7.07,306.64,37.56,29.11,66.27,10.98,177.08,94,34.26,37.56,34.26,285,130,131,546,39,44,9,59,1,146,126,246,376,15,33,187,21,13,71,297,70,48,8.21,8.35,21.01,13,4,22,546,415,415,2,7.73,10.6,10.59,34.69,34.69,32.92
NJD,2025,NJD,NJD,Team Level,5on4,82,0.91,0.9,0.89,19506,334.04,44.68,32.28,71.32,11.79,190.2,99.73,41.01,44.68,41.01,324,126,149,599,43,59,10,49,1,176,122,281,407,13,26,205,24,14,73,296,93,61,8.35,11.04,25.3,8,9,26,599,450,450,5,8.54,15.27,15.27,37.95,37.95,36.3,43.59,4.46,2.48,6.49,1.48,13.99,29.11,4.35,4.46,4.35,44,14,8,66,2,5,1,1,0,16,34,42,56,8,16,142,45,24,28,35,18,5,1.04,2.26,1.17,0,2,0,66,58,58,22,0.56,0.92,0.92,4.09,4.09,4.07
TOR,2025,TOR,TOR,Team Level,other,82,0.47,0.43,0.47,10885,160.9,41.04,10.84,28.72,5.32,74.7,53.39,37.44,41.04,37.44,136,78,50,264,38,23,1,18,1,57,77,98,176,5,10,138,27,17,40,98,53,63,4.34,6.33,30.37,7,8,23,264,214,214,9,3.2,8.11,8.11,36.14,36.14,34.3,179.67,47.16,12.01,30.46,5.78,85.94,61.65,43.97,47.16,43.97,162,81,103,346,40,9,2,20,0,91,83,122,203,4,6,93,25,23,27,111,69,63,5.18,8.77,33.21,5,8,27,346,243,243,14,3.55,3.35,3.35,47.36,47.36,44.49
TOR,2025,TOR,TOR,Team Level,all,82,0.46,0.45,0.45,299816,2431.46,238.41,166.62,584.09,80.85,1275.38,928.63,227.37,237.94,226.95,2160,1114,1082,4356,252,262,32,462,5,1060,1233,1908,3022,282,632,2497,1870,378,1332,2373,655,246,70.73,80.24,87.44,92,89,71,4321.3,3274,3254.88,629,37.29,50.97,50.97,224.72,224.4,218.96,2944.37,285.49,204.19,708.75,98.38,1589,1139.19,272.29,287.48,274.15,2663,1362,1380,5405,295,292,30,554,5,1453,1426,2368,3730,252,574,2112,1496,386,1280,3028,705,292,91.26,87.12,107.12,122,97,76,5473.97,4025,4066.94,601,45.68,60.78,62.09,269.09,270.67,262.3
TOR,2025,TOR,TOR,Team Level,5on5,82,0.46,0.45,0.45,247167,1909.38,154.02,124.34,479.27,63.33,1011.87,750.17,148.62,153.55,148.19,1665,918,888,3471,171,191,25,383,4,850,984,1494,2412,262,592,1967,1776,309,1192,1966,489,128,57.65,60.73,35.64,80,63,28,3436.3,2583,2563.88,580,25.94,34.44,34.44,145.51,145.19,142.94,2296.44,183.65,150.65,578.49,76.57,1243.82,914.82,177.36,185.62,179.22,2063,1085,1129,4277,207,219,21,462,4,1123,1133,1856,2941,236,543,1658,1434,316,1153,2469,513,166,73.2,63.83,46.61,107,76,24,4345.97,3148,3189.94,552,31.33,43.4,44.02,170.95,172.54,169.41
TOR,2025,TOR,TOR,Team Level,4on5,82,0.1,0.11,0.12,22402,58.3,5.49,2.96,8.66,1.94,18.67,39.28,5.39,5.49,5.39,66,11,6,83,6,2,0,4,0,15,50,60,71,7,14,203,52,35,41,53,16,8,1.61,1.82,2.06,2,2,2,83,77,77,37,0.69,0.23,0.23,5.94,5.94,5.91,415.85,49.37,38.68,91.56,14.38,242.49,127.53,45.75,49.37,45.75,382,182,141,705,41,62,7,68,1,230,162,341,523,8,14,201,14,13,65,399,108,57,11.22,12.8,25.34,8,10,23,705,564,564,8,10.16,13.28,13.98,45.54,45.54,43.19
TOR,2025,TOR,TOR,Team Level,5on4,82,0.88,0.87,0.85,19362,302.88,37.86,28.48,67.47,10.26,170.14,85.79,35.91,37.86,35.91,293,107,138,538,37,46,6,57,0,138,122,256,363,8,16,189,15,17,59,256,97,47,7.13,11.36,19.38,3,16,18,538,400,400,3,7.46,8.19,8.19,37.14,37.14,35.81,52.41,5.33,2.86,8.23,1.65,16.75,35.18,5.21,5.33,5.21,56,14,7,77,7,2,0,4,0,9,48,49,63,4,11,160,23,34,35,49,15,6,1.65,1.72,1.96,2,3,2,77,70,70,27,0.65,0.75,0.75,5.23,5.23,5.21
